"Class"	"Phylum"
"54"	"Bacilli"	"Firmicutes"
"55"	"Actinomycetia"	"Actinobacteriota"
"56"	"Gammaproteobacteria"	"Proteobacteria"
"57"	"Campylobacteria"	"Campylobacterota"
"58"	"Cyanobacteriia"	"Cyanobacteria"
"59"	"Gammaproteobacteria"	"Proteobacteria"
"60"	"Desulfuromonadia"	"Desulfobacterota"
"61"	"Bacilli"	"Firmicutes"
"62"	"Alphaproteobacteria"	"Proteobacteria"
"63"	"Alphaproteobacteria"	"Proteobacteria"
"64"	"Bacilli"	"Firmicutes"
"65"	"Gammaproteobacteria"	"Proteobacteria"
"66"	"Deinococci"	"Deinococcota"
"67"	"Alphaproteobacteria"	"Proteobacteria"
"68"	"Bacilli"	"Firmicutes"
"69"	"Spirochaetia"	"Spirochaetota"
"70"	"Bacilli"	"Firmicutes"
"71"	"Bacilli"	"Firmicutes"
"72"	"Bacilli"	"Firmicutes"
"73"	"Bacilli"	"Firmicutes"
"74"	"Bacilli"	"Firmicutes"
"75"	"Gammaproteobacteria"	"Proteobacteria"
"76"	"Actinomycetia"	"Actinobacteriota"
"77"	"Bacilli"	"Firmicutes"
"78"	"Alphaproteobacteria"	"Proteobacteria"
"79"	"Bacilli"	"Firmicutes"
"80"	"Bacilli"	"Firmicutes"
"81"	"Bacilli"	"Firmicutes"
"82"	"Gammaproteobacteria"	"Proteobacteria"
"83"	"Gammaproteobacteria"	"Proteobacteria"
"84"	"Bacilli"	"Firmicutes"
"85"	"Campylobacteria"	"Campylobacterota"
"86"	"Thermotogae"	"Thermotogota"
"87"	"Deinococci"	"Deinococcota"
"88"	"Actinomycetia"	"Actinobacteriota"
"89"	"Spirochaetia"	"Spirochaetota"
"90"	"Aquificae"	"Aquificota"
"91"	"Spirochaetia"	"Spirochaetota"
"92"	"Chlamydiia"	"Chlamydiota"
"93"	"Chlamydiia"	"Chlamydiota"
"94"	"Clostridia"	"Firmicutes"
"95"	"Campylobacteria"	"Campylobacterota"
"96"	"Gammaproteobacteria"	"Proteobacteria"
"97"	"Gammaproteobacteria"	"Proteobacteria"
"98"	"Bacilli"	"Firmicutes"
"99"	"Actinomycetia"	"Actinobacteriota"
"100"	"Gammaproteobacteria"	"Proteobacteria"
"101"	"Bacilli"	"Firmicutes"
"102"	"Dehalococcoidia"	"Chloroflexota"
"103"	"Bacilli"	"Firmicutes"
"104"	"Gammaproteobacteria"	"Proteobacteria"
"105"	"Campylobacteria"	"Campylobacterota"
"106"	"Gammaproteobacteria"	"Proteobacteria"
"107"	"Gammaproteobacteria"	"Proteobacteria"
"108"	"Gammaproteobacteria"	"Proteobacteria"
"109"	"Gammaproteobacteria"	"Proteobacteria"
"110"	"Clostridia"	"Firmicutes"
"111"	"Gammaproteobacteria"	"Proteobacteria"
"112"	"Gammaproteobacteria"	"Proteobacteria"
"113"	"Alphaproteobacteria"	"Proteobacteria"
"114"	"Gammaproteobacteria"	"Proteobacteria"
"115"	"Campylobacteria"	"Campylobacterota"
"116"	"Gammaproteobacteria"	"Proteobacteria"
"117"	"Gammaproteobacteria"	"Proteobacteria"
"118"	"Gammaproteobacteria"	"Proteobacteria"
"119"	"Bacilli"	"Firmicutes"
"120"	"Bacilli"	"Firmicutes"
"121"	"Bacilli"	"Firmicutes"
"122"	"Actinomycetia"	"Actinobacteriota"
"123"	"Gammaproteobacteria"	"Proteobacteria"
"124"	"Gammaproteobacteria"	"Proteobacteria"
"125"	"Gammaproteobacteria"	"Proteobacteria"
"126"	"Gammaproteobacteria"	"Proteobacteria"
"127"	"Bacilli"	"Firmicutes"
"128"	"Gammaproteobacteria"	"Proteobacteria"
"129"	"Bacilli"	"Firmicutes"
"130"	"Gammaproteobacteria"	"Proteobacteria"
"131"	"Alphaproteobacteria"	"Proteobacteria"
"132"	"Bacilli"	"Firmicutes"
"133"	"Bacilli"	"Firmicutes"
"134"	"Clostridia"	"Firmicutes"
"135"	"Cyanobacteriia"	"Cyanobacteria"
"136"	"Cyanobacteriia"	"Cyanobacteria"
"137"	"Gammaproteobacteria"	"Proteobacteria"
"138"	"Actinomycetia"	"Actinobacteriota"
"139"	"Bacilli"	"Firmicutes"
"140"	"Actinomycetia"	"Actinobacteriota"
"141"	"Bacilli"	"Firmicutes"
"142"	"Bacilli"	"Firmicutes"
"143"	"Gammaproteobacteria"	"Proteobacteria"
"144"	"Symbiobacteriia"	"Firmicutes"
"145"	"Bacteroidia"	"Bacteroidota"
"146"	"Chlamydiia"	"Chlamydiota"
"147"	"Alphaproteobacteria"	"Proteobacteria"
"148"	"Bacilli"	"Firmicutes"
"149"	"Gammaproteobacteria"	"Proteobacteria"
"150"	"Desulfitobacteriia"	"Firmicutes"
"151"	"Cyanobacteriia"	"Cyanobacteria"
"152"	"Actinomycetia"	"Actinobacteriota"
"153"	"Bacilli"	"Firmicutes"
"154"	"Bacilli"	"Firmicutes"
"155"	"Bacilli"	"Firmicutes"
"156"	"Clostridia"	"Firmicutes"
"157"	"Alphaproteobacteria"	"Proteobacteria"
"158"	"Actinomycetia"	"Actinobacteriota"
"159"	"Gammaproteobacteria"	"Proteobacteria"
"160"	"Clostridia"	"Firmicutes"
"161"	"Actinomycetia"	"Actinobacteriota"
"162"	"Gemmatimonadetes"	"Gemmatimonadota"
"163"	"Campylobacteria"	"Campylobacterota"
"164"	"Campylobacteria"	"Campylobacterota"
"165"	NA	NA
"166"	"Gammaproteobacteria"	"Proteobacteria"
"167"	"Gammaproteobacteria"	"Proteobacteria"
"168"	"Actinomycetia"	"Actinobacteriota"
"169"	"Bacilli"	"Firmicutes"
"170"	"Bacilli"	"Firmicutes"
"171"	"Gammaproteobacteria"	"Proteobacteria"
"172"	"Bacteroidia"	"Bacteroidota"
"173"	"Alphaproteobacteria"	"Proteobacteria"
"174"	"Gammaproteobacteria"	"Proteobacteria"
"175"	"Bacilli"	"Firmicutes"
"176"	"Actinomycetia"	"Actinobacteriota"
"177"	"Cyanobacteriia"	"Cyanobacteria"
"178"	"Desulfovibrionia"	"Desulfobacterota"
"179"	"Actinomycetia"	"Actinobacteriota"
"180"	"Bacilli"	"Firmicutes"
"181"	"Alphaproteobacteria"	"Proteobacteria"
"182"	"Gammaproteobacteria"	"Proteobacteria"
"183"	"Gammaproteobacteria"	"Proteobacteria"
"184"	"Aquificae"	"Aquificota"
"185"	"Actinomycetia"	"Actinobacteriota"
"186"	"Alphaproteobacteria"	"Proteobacteria"
"187"	"Alphaproteobacteria"	"Proteobacteria"
"188"	"Alphaproteobacteria"	"Proteobacteria"
"189"	"Alphaproteobacteria"	"Proteobacteria"
"190"	"Alphaproteobacteria"	"Proteobacteria"
"191"	"Alphaproteobacteria"	"Proteobacteria"
"192"	"Alphaproteobacteria"	"Proteobacteria"
"193"	"Alphaproteobacteria"	"Proteobacteria"
"194"	"Deferribacteres"	"Deferribacterota"
"195"	"Actinomycetia"	"Actinobacteriota"
"196"	"Bacilli"	"Firmicutes"
"197"	"Bacteroidia"	"Bacteroidota"
"198"	"Bacilli"	"Firmicutes"
"199"	"Chlamydiia"	"Chlamydiota"
"200"	"Bacilli"	"Firmicutes"
"201"	"Bacilli"	"Firmicutes"
"202"	"Bacilli"	"Firmicutes"
"203"	"Bacilli"	"Firmicutes"
"204"	"Actinomycetia"	"Actinobacteriota"
"205"	"Actinomycetia"	"Actinobacteriota"
"206"	"Cyanobacteriia"	"Cyanobacteria"
"207"	"Alphaproteobacteria"	"Proteobacteria"
"208"	"Cyanobacteriia"	"Cyanobacteria"
"209"	"Gammaproteobacteria"	"Proteobacteria"
"210"	"Cyanobacteriia"	"Cyanobacteria"
"211"	"Cyanobacteriia"	"Cyanobacteria"
"212"	"Bacilli"	"Firmicutes"
"213"	"Bacilli"	"Firmicutes"
"214"	"Gammaproteobacteria"	"Proteobacteria"
"215"	"Chlamydiia"	"Chlamydiota"
"216"	"Gammaproteobacteria"	"Proteobacteria"
"217"	"Bacilli"	"Firmicutes"
"218"	"Bacilli"	"Firmicutes"
"219"	"Bacilli"	"Firmicutes"
"220"	"Alphaproteobacteria"	"Proteobacteria"
"221"	"Gammaproteobacteria"	"Proteobacteria"
"222"	"Campylobacteria"	"Campylobacterota"
"223"	"Gammaproteobacteria"	"Proteobacteria"
"224"	"Bacilli"	"Firmicutes"
"225"	"Gammaproteobacteria"	"Proteobacteria"
"226"	"Bacilli"	"Firmicutes"
"227"	"Bacilli"	"Firmicutes"
"228"	"Campylobacteria"	"Campylobacterota"
"229"	"Gammaproteobacteria"	"Proteobacteria"
"230"	"Dehalococcoidia"	"Chloroflexota"
"231"	"Bacilli"	"Firmicutes"
"232"	"Alphaproteobacteria"	"Proteobacteria"
"233"	"Alphaproteobacteria"	"Proteobacteria"
"234"	"Bacilli"	"Firmicutes"
"235"	"Gammaproteobacteria"	"Proteobacteria"
"236"	"Gammaproteobacteria"	"Proteobacteria"
"237"	"Bacilli"	"Firmicutes"
"238"	"Spirochaetia"	"Spirochaetota"
"239"	"Gammaproteobacteria"	"Proteobacteria"
"240"	"Chlamydiia"	"Chlamydiota"
"241"	"Bacilli"	"Firmicutes"
"242"	"Gammaproteobacteria"	"Proteobacteria"
"243"	"Gammaproteobacteria"	"Proteobacteria"
"244"	"Bacilli"	"Firmicutes"
"245"	"Gammaproteobacteria"	"Proteobacteria"
"246"	"Gammaproteobacteria"	"Proteobacteria"
"247"	"Gammaproteobacteria"	"Proteobacteria"
"248"	"Gammaproteobacteria"	"Proteobacteria"
"249"	"Alphaproteobacteria"	"Proteobacteria"
"250"	"Gammaproteobacteria"	"Proteobacteria"
"251"	"Alphaproteobacteria"	"Proteobacteria"
"252"	"Gammaproteobacteria"	"Proteobacteria"
"253"	"Cyanobacteriia"	"Cyanobacteria"
"254"	"Chlorobia"	"Bacteroidota"
"255"	"Cyanobacteriia"	"Cyanobacteria"
"256"	"Alphaproteobacteria"	"Proteobacteria"
"257"	"Cyanobacteriia"	"Cyanobacteria"
"258"	"Desulfovibrionia"	"Desulfobacterota"
"259"	"Myxococcia"	"Myxococcota"
"260"	"Bacilli"	"Firmicutes"
"261"	"Alphaproteobacteria"	"Proteobacteria"
"262"	"Gammaproteobacteria"	"Proteobacteria"
"263"	"Bacilli"	"Firmicutes"
"264"	"Gammaproteobacteria"	"Proteobacteria"
"265"	"Gammaproteobacteria"	"Proteobacteria"
"266"	"Bacteroidia"	"Bacteroidota"
"267"	"Bacteroidia"	"Bacteroidota"
"268"	"Z-2901"	"Firmicutes"
"269"	"Desulfuromonadia"	"Desulfobacterota"
"270"	"Desulfuromonadia"	"Desulfobacterota"
"271"	"Gammaproteobacteria"	"Proteobacteria"
"272"	"Campylobacteria"	"Campylobacterota"
"273"	"Gammaproteobacteria"	"Proteobacteria"
"274"	"Alphaproteobacteria"	"Proteobacteria"
"275"	"Alphaproteobacteria"	"Proteobacteria"
"276"	"Rhodothermia"	"Bacteroidota"
"277"	"Bacilli"	"Firmicutes"
"278"	"Alphaproteobacteria"	"Proteobacteria"
"279"	"Alphaproteobacteria"	"Proteobacteria"
"280"	"Alphaproteobacteria"	"Proteobacteria"
"281"	"Alphaproteobacteria"	"Proteobacteria"
"282"	"Cyanobacteriia"	"Cyanobacteria"
"283"	"Cyanobacteriia"	"Cyanobacteria"
"284"	"Campylobacteria"	"Campylobacterota"
"285"	"Gammaproteobacteria"	"Proteobacteria"
"286"	"Clostridia"	"Firmicutes"
"287"	"Gammaproteobacteria"	"Proteobacteria"
"288"	"Alphaproteobacteria"	"Proteobacteria"
"289"	"Actinomycetia"	"Actinobacteriota"
"290"	"Alphaproteobacteria"	"Proteobacteria"
"291"	"Myxococcia"	"Myxococcota"
"292"	"Syntrophia"	"Desulfobacterota"
"293"	"Bacilli"	"Firmicutes"
"294"	"Bacilli"	"Firmicutes"
"295"	"Bacilli"	"Firmicutes"
"296"	"Bacilli"	"Firmicutes"
"297"	"Bacilli"	"Firmicutes"
"298"	"Alphaproteobacteria"	"Proteobacteria"
"299"	"Gammaproteobacteria"	"Proteobacteria"
"300"	"Gammaproteobacteria"	"Proteobacteria"
"301"	"Gammaproteobacteria"	"Proteobacteria"
"302"	"Gammaproteobacteria"	"Proteobacteria"
"303"	"Gammaproteobacteria"	"Proteobacteria"
"304"	"Gammaproteobacteria"	"Proteobacteria"
"305"	"Gammaproteobacteria"	"Proteobacteria"
"306"	"Gammaproteobacteria"	"Proteobacteria"
"307"	"Gammaproteobacteria"	"Proteobacteria"
"308"	"Gammaproteobacteria"	"Proteobacteria"
"309"	NA	NA
"310"	"Gammaproteobacteria"	"Proteobacteria"
"311"	"Alphaproteobacteria"	"Proteobacteria"
"312"	"Gammaproteobacteria"	"Proteobacteria"
"313"	"Actinomycetia"	"Actinobacteriota"
"314"	"Alphaproteobacteria"	"Proteobacteria"
"315"	"Acidobacteriae"	"Acidobacteriota"
"316"	"Campylobacteria"	"Campylobacterota"
"317"	"Alphaproteobacteria"	"Proteobacteria"
"318"	"Alphaproteobacteria"	"Proteobacteria"
"319"	"Gammaproteobacteria"	"Proteobacteria"
"320"	"Clostridia"	"Firmicutes"
"321"	"Bacteroidia"	"Bacteroidota"
"322"	"Rubrobacteria"	"Actinobacteriota"
"323"	"Bacilli"	"Firmicutes"
"324"	"Alphaproteobacteria"	"Proteobacteria"
"325"	"Alphaproteobacteria"	"Proteobacteria"
"326"	"Bacilli"	"Firmicutes"
"327"	"Bacilli"	"Firmicutes"
"328"	"Bacilli"	"Firmicutes"
"329"	"Bacilli"	"Firmicutes"
"330"	"Bacilli"	"Firmicutes"
"331"	"Bacilli"	"Firmicutes"
"332"	"Bacilli"	"Firmicutes"
"333"	"Bacilli"	"Firmicutes"
"334"	"Bacilli"	"Firmicutes"
"335"	"Bacilli"	"Firmicutes"
"336"	"Actinomycetia"	"Actinobacteriota"
"337"	"Cyanobacteriia"	"Cyanobacteria"
"338"	"Gammaproteobacteria"	"Proteobacteria"
"339"	"Gammaproteobacteria"	"Proteobacteria"
"340"	"Gammaproteobacteria"	"Proteobacteria"
"341"	"Gammaproteobacteria"	"Proteobacteria"
"342"	"Gammaproteobacteria"	"Proteobacteria"
"343"	"Syntrophomonadia"	"Firmicutes"
"344"	"Alphaproteobacteria"	"Proteobacteria"
"345"	"Gammaproteobacteria"	"Proteobacteria"
"346"	"Gammaproteobacteria"	"Proteobacteria"
"347"	"Gammaproteobacteria"	"Proteobacteria"
"348"	"Gammaproteobacteria"	"Proteobacteria"
"349"	"Magnetococcia"	"Proteobacteria"
"350"	"Gammaproteobacteria"	"Proteobacteria"
"351"	"Actinomycetia"	"Actinobacteriota"
"352"	"Syntrophobacteria"	"Desulfobacterota"
"353"	"Actinomycetia"	"Actinobacteriota"
"354"	"Actinomycetia"	"Actinobacteriota"
"355"	"Actinomycetia"	"Actinobacteriota"
"356"	"Desulfuromonadia"	"Desulfobacterota"
"357"	"Bacilli"	"Firmicutes"
"358"	"Campylobacteria"	"Campylobacterota"
"359"	"Gammaproteobacteria"	"Proteobacteria"
"360"	"Chlorobia"	"Bacteroidota"
"361"	"Alphaproteobacteria"	"Proteobacteria"
"362"	"Gammaproteobacteria"	"Proteobacteria"
"363"	"Gammaproteobacteria"	"Proteobacteria"
"364"	"Actinomycetia"	"Actinobacteriota"
"365"	"Gammaproteobacteria"	"Proteobacteria"
"366"	"Actinomycetia"	"Actinobacteriota"
"367"	"Gammaproteobacteria"	"Proteobacteria"
"368"	"Gammaproteobacteria"	"Proteobacteria"
"369"	"Gammaproteobacteria"	"Proteobacteria"
"370"	"Bacilli"	"Firmicutes"
"371"	"Alphaproteobacteria"	"Proteobacteria"
"372"	"Gammaproteobacteria"	"Proteobacteria"
"373"	"Desulfovibrionia"	"Desulfobacterota"
"374"	"Gammaproteobacteria"	"Proteobacteria"
"375"	"Campylobacteria"	"Campylobacterota"
"376"	"Gammaproteobacteria"	"Proteobacteria"
"377"	"Gammaproteobacteria"	"Proteobacteria"
"378"	"Gammaproteobacteria"	"Proteobacteria"
"379"	"Gammaproteobacteria"	"Proteobacteria"
"380"	"Cyanobacteriia"	"Cyanobacteria"
"381"	"Cyanobacteriia"	"Cyanobacteria"
"382"	"Cyanobacteriia"	"Cyanobacteria"
"383"	NA	NA
"384"	"Gammaproteobacteria"	"Proteobacteria"
"385"	"Bacilli"	"Firmicutes"
"386"	"Bacilli"	"Firmicutes"
