"Class"	"Phylum"
"4572"	"Gammaproteobacteria"	"Proteobacteria"
"4573"	"Gammaproteobacteria"	"Proteobacteria"
"4574"	"Gammaproteobacteria"	"Proteobacteria"
"4575"	"Gammaproteobacteria"	"Proteobacteria"
"4576"	"Gammaproteobacteria"	"Proteobacteria"
"4577"	"Gammaproteobacteria"	"Proteobacteria"
"4578"	"Gammaproteobacteria"	"Proteobacteria"
"4579"	"Bacilli"	"Firmicutes"
"4580"	"Clostridia"	"Firmicutes"
"4581"	"Actinomycetia"	"Actinobacteriota"
"4582"	"Gammaproteobacteria"	"Proteobacteria"
"4583"	"Gammaproteobacteria"	"Proteobacteria"
"4584"	"Gammaproteobacteria"	"Proteobacteria"
"4585"	"Gammaproteobacteria"	"Proteobacteria"
"4586"	"Alphaproteobacteria"	"Proteobacteria"
"4587"	"Bacteroidia"	"Bacteroidota"
"4588"	"Gammaproteobacteria"	"Proteobacteria"
"4589"	"Gammaproteobacteria"	"Proteobacteria"
"4590"	"Desulfovibrionia"	"Desulfobacterota"
"4591"	"Alphaproteobacteria"	"Proteobacteria"
"4592"	"Alphaproteobacteria"	"Proteobacteria"
"4593"	"Campylobacteria"	"Campylobacterota"
"4594"	"Bacilli"	"Firmicutes"
"4595"	"Bacilli"	"Firmicutes"
"4596"	"Bacilli"	"Firmicutes"
"4597"	"Gammaproteobacteria"	"Proteobacteria"
"4598"	"Gammaproteobacteria"	"Proteobacteria"
"4599"	"Gammaproteobacteria"	"Proteobacteria"
"4600"	"Gammaproteobacteria"	"Proteobacteria"
"4601"	"Gammaproteobacteria"	"Proteobacteria"
"4602"	"Bacilli"	"Firmicutes"
"4603"	"Gammaproteobacteria"	"Proteobacteria"
"4604"	"Gammaproteobacteria"	"Proteobacteria"
"4605"	"Gammaproteobacteria"	"Proteobacteria"
"4606"	"Gammaproteobacteria"	"Proteobacteria"
"4607"	"Gammaproteobacteria"	"Proteobacteria"
"4608"	"Gammaproteobacteria"	"Proteobacteria"
"4609"	"Gammaproteobacteria"	"Proteobacteria"
"4610"	"Gammaproteobacteria"	"Proteobacteria"
"4611"	"Alphaproteobacteria"	"Proteobacteria"
"4612"	"Gammaproteobacteria"	"Proteobacteria"
"4613"	"Gammaproteobacteria"	"Proteobacteria"
"4614"	"Actinomycetia"	"Actinobacteriota"
"4615"	"Gammaproteobacteria"	"Proteobacteria"
"4616"	"Actinomycetia"	"Actinobacteriota"
"4617"	"Actinomycetia"	"Actinobacteriota"
"4618"	"Gammaproteobacteria"	"Proteobacteria"
"4619"	"Gammaproteobacteria"	"Proteobacteria"
"4620"	"Bacteroidia"	"Bacteroidota"
"4621"	"Clostridia"	"Firmicutes"
"4622"	"Alphaproteobacteria"	"Proteobacteria"
"4623"	NA	NA
"4624"	"Gammaproteobacteria"	"Proteobacteria"
"4625"	"Bacilli"	"Firmicutes"
"4626"	"Bacilli"	"Firmicutes"
"4627"	"Bacilli"	"Firmicutes"
"4628"	"Gammaproteobacteria"	"Proteobacteria"
"4629"	"Gammaproteobacteria"	"Proteobacteria"
"4630"	"Clostridia"	"Firmicutes"
"4631"	"Clostridia"	"Firmicutes"
"4632"	"Gammaproteobacteria"	"Proteobacteria"
"4633"	"Actinomycetia"	"Actinobacteriota"
"4634"	"Alphaproteobacteria"	"Proteobacteria"
"4635"	NA	NA
"4636"	"Actinomycetia"	"Actinobacteriota"
"4637"	NA	NA
"4638"	"Gammaproteobacteria"	"Proteobacteria"
"4639"	NA	NA
"4640"	"Actinomycetia"	"Actinobacteriota"
"4641"	"Gammaproteobacteria"	"Proteobacteria"
"4642"	"Bacteroidia"	"Bacteroidota"
"4643"	"Bacilli"	"Firmicutes"
"4644"	"Bacilli"	"Firmicutes"
"4645"	"Bacilli"	"Firmicutes"
"4646"	"Bacilli"	"Firmicutes"
"4647"	"Actinomycetia"	"Actinobacteriota"
"4648"	"Bacilli"	"Firmicutes"
"4649"	"Gammaproteobacteria"	"Proteobacteria"
"4650"	"Gammaproteobacteria"	"Proteobacteria"
"4651"	"Gammaproteobacteria"	"Proteobacteria"
"4652"	"Gammaproteobacteria"	"Proteobacteria"
"4653"	"Gammaproteobacteria"	"Proteobacteria"
"4654"	"TC1"	"Firmicutes"
"4655"	"Bacilli"	"Firmicutes"
"4656"	"Gammaproteobacteria"	"Proteobacteria"
"4657"	"Gammaproteobacteria"	"Proteobacteria"
"4658"	"Gammaproteobacteria"	"Proteobacteria"
"4659"	"Actinomycetia"	"Actinobacteriota"
"4660"	"Actinomycetia"	"Actinobacteriota"
"4661"	"Gammaproteobacteria"	"Proteobacteria"
"4662"	"Alphaproteobacteria"	"Proteobacteria"
"4663"	"Campylobacteria"	"Campylobacterota"
"4664"	"Campylobacteria"	"Campylobacterota"
"4665"	"Bacilli"	"Firmicutes"
"4666"	"Gammaproteobacteria"	"Proteobacteria"
"4667"	"Gammaproteobacteria"	"Proteobacteria"
"4668"	"Bacilli"	"Firmicutes"
"4669"	NA	NA
"4670"	"Bacteroidia"	"Bacteroidota"
"4671"	"Gammaproteobacteria"	"Proteobacteria"
"4672"	"Gammaproteobacteria"	"Proteobacteria"
"4673"	"Bacilli"	"Firmicutes"
"4674"	"Gammaproteobacteria"	"Proteobacteria"
"4675"	"Bacilli"	"Firmicutes"
"4676"	"Bacilli"	"Firmicutes"
"4677"	"Bacilli"	"Firmicutes"
"4678"	"Gammaproteobacteria"	"Proteobacteria"
"4679"	"Gammaproteobacteria"	"Proteobacteria"
"4680"	"Gammaproteobacteria"	"Proteobacteria"
"4681"	"Gammaproteobacteria"	"Proteobacteria"
"4682"	"Bacilli"	"Firmicutes"
"4683"	"Gammaproteobacteria"	"Proteobacteria"
"4684"	"Gammaproteobacteria"	"Proteobacteria"
"4685"	"Gammaproteobacteria"	"Proteobacteria"
"4686"	"Bacteroidia"	"Bacteroidota"
"4687"	"Gammaproteobacteria"	"Proteobacteria"
"4688"	"Bacilli"	"Firmicutes"
"4689"	"Bacilli"	"Firmicutes"
"4690"	"Bacilli"	"Firmicutes"
"4691"	"Gammaproteobacteria"	"Proteobacteria"
"4692"	"Gammaproteobacteria"	"Proteobacteria"
"4693"	"Gammaproteobacteria"	"Proteobacteria"
"4694"	"Gammaproteobacteria"	"Proteobacteria"
"4695"	"Bacilli"	"Firmicutes"
"4696"	"Bacilli"	"Firmicutes"
"4697"	"Gammaproteobacteria"	"Proteobacteria"
"4698"	"Bacilli"	"Firmicutes"
"4699"	"Bacteroidia"	"Bacteroidota"
"4700"	"Bacteroidia"	"Bacteroidota"
"4701"	"Bacilli"	"Firmicutes"
"4702"	"Bacilli"	"Firmicutes"
"4703"	"Bacilli"	"Firmicutes"
"4704"	"Gammaproteobacteria"	"Proteobacteria"
"4705"	"Actinomycetia"	"Actinobacteriota"
"4706"	"Bacilli"	"Firmicutes"
"4707"	"Bacilli"	"Firmicutes"
"4708"	"Bacilli"	"Firmicutes"
"4709"	"Actinomycetia"	"Actinobacteriota"
"4710"	"Bacilli"	"Firmicutes"
"4711"	"Campylobacteria"	"Campylobacterota"
"4712"	"Actinomycetia"	"Actinobacteriota"
"4713"	"Gammaproteobacteria"	"Proteobacteria"
"4714"	"Bacilli"	"Firmicutes"
"4715"	"Alphaproteobacteria"	"Proteobacteria"
"4716"	"Bacilli"	"Firmicutes"
"4717"	"Alphaproteobacteria"	"Proteobacteria"
"4718"	"Gammaproteobacteria"	"Proteobacteria"
"4719"	"Gammaproteobacteria"	"Proteobacteria"
"4720"	"Gammaproteobacteria"	"Proteobacteria"
"4721"	"Gammaproteobacteria"	"Proteobacteria"
"4722"	"Gammaproteobacteria"	"Proteobacteria"
"4723"	"Gammaproteobacteria"	"Proteobacteria"
"4724"	"Gammaproteobacteria"	"Proteobacteria"
"4725"	"Gammaproteobacteria"	"Proteobacteria"
"4726"	"Gammaproteobacteria"	"Proteobacteria"
"4727"	"Gammaproteobacteria"	"Proteobacteria"
"4728"	"Gammaproteobacteria"	"Proteobacteria"
"4729"	"Gammaproteobacteria"	"Proteobacteria"
"4730"	"Gammaproteobacteria"	"Proteobacteria"
"4731"	"Gammaproteobacteria"	"Proteobacteria"
"4732"	"Gammaproteobacteria"	"Proteobacteria"
"4733"	"Gammaproteobacteria"	"Proteobacteria"
"4734"	"Gammaproteobacteria"	"Proteobacteria"
"4735"	"Gammaproteobacteria"	"Proteobacteria"
"4736"	"Gammaproteobacteria"	"Proteobacteria"
"4737"	"Gammaproteobacteria"	"Proteobacteria"
"4738"	"Gammaproteobacteria"	"Proteobacteria"
"4739"	"Gammaproteobacteria"	"Proteobacteria"
"4740"	"Gammaproteobacteria"	"Proteobacteria"
"4741"	"Gammaproteobacteria"	"Proteobacteria"
"4742"	"Gammaproteobacteria"	"Proteobacteria"
"4743"	"Gammaproteobacteria"	"Proteobacteria"
"4744"	"Gammaproteobacteria"	"Proteobacteria"
"4745"	"Gammaproteobacteria"	"Proteobacteria"
"4746"	"Gammaproteobacteria"	"Proteobacteria"
"4747"	"Gammaproteobacteria"	"Proteobacteria"
"4748"	"Gammaproteobacteria"	"Proteobacteria"
"4749"	"Gammaproteobacteria"	"Proteobacteria"
"4750"	"Actinomycetia"	"Actinobacteriota"
"4751"	"Gammaproteobacteria"	"Proteobacteria"
"4752"	"Actinomycetia"	"Actinobacteriota"
"4753"	"Gammaproteobacteria"	"Proteobacteria"
"4754"	"Gammaproteobacteria"	"Proteobacteria"
"4755"	"Gammaproteobacteria"	"Proteobacteria"
"4756"	"Gammaproteobacteria"	"Proteobacteria"
"4757"	"Actinomycetia"	"Actinobacteriota"
"4758"	"Actinomycetia"	"Actinobacteriota"
"4759"	"Actinomycetia"	"Actinobacteriota"
"4760"	"Actinomycetia"	"Actinobacteriota"
"4761"	"Actinomycetia"	"Actinobacteriota"
"4762"	"Actinomycetia"	"Actinobacteriota"
"4763"	"Actinomycetia"	"Actinobacteriota"
"4764"	"Actinomycetia"	"Actinobacteriota"
"4765"	"Actinomycetia"	"Actinobacteriota"
"4766"	"Actinomycetia"	"Actinobacteriota"
"4767"	"Actinomycetia"	"Actinobacteriota"
"4768"	"Actinomycetia"	"Actinobacteriota"
"4769"	"Gammaproteobacteria"	"Proteobacteria"
"4770"	"Gammaproteobacteria"	"Proteobacteria"
"4771"	"Dehalococcoidia"	"Chloroflexota"
"4772"	"Gammaproteobacteria"	"Proteobacteria"
"4773"	"Gammaproteobacteria"	"Proteobacteria"
"4774"	"Planctomycetia"	"Planctomycetota"
"4775"	"Planctomycetia"	"Planctomycetota"
"4776"	"Planctomycetia"	"Planctomycetota"
"4777"	"Planctomycetia"	"Planctomycetota"
"4778"	"Gammaproteobacteria"	"Proteobacteria"
"4779"	"Bacilli"	"Firmicutes"
"4780"	"Alphaproteobacteria"	"Proteobacteria"
"4781"	"Alphaproteobacteria"	"Proteobacteria"
"4782"	"Gammaproteobacteria"	"Proteobacteria"
"4783"	"Bacilli"	"Firmicutes"
"4784"	"Gammaproteobacteria"	"Proteobacteria"
"4785"	"Bacilli"	"Firmicutes"
"4786"	"Gammaproteobacteria"	"Proteobacteria"
"4787"	"Bacilli"	"Firmicutes"
"4788"	"Bacilli"	"Firmicutes"
"4789"	"Bacilli"	"Firmicutes"
"4790"	"Desulfuromonadia"	"Desulfobacterota"
"4791"	"Bacilli"	"Firmicutes"
"4792"	"Bacilli"	"Firmicutes"
"4793"	"Bacilli"	"Firmicutes"
"4794"	"Bacilli"	"Firmicutes"
"4795"	"Bacilli"	"Firmicutes"
"4796"	"Bacilli"	"Firmicutes"
"4797"	"Bacteroidia"	"Bacteroidota"
"4798"	"Gammaproteobacteria"	"Proteobacteria"
"4799"	"Actinomycetia"	"Actinobacteriota"
"4800"	"Gammaproteobacteria"	"Proteobacteria"
"4801"	"Bacilli"	"Firmicutes"
"4802"	NA	NA
"4803"	NA	NA
"4804"	"Bacilli"	"Firmicutes"
"4805"	"Alphaproteobacteria"	"Proteobacteria"
"4806"	"Gammaproteobacteria"	"Proteobacteria"
"4807"	"Gammaproteobacteria"	"Proteobacteria"
"4808"	"Gammaproteobacteria"	"Proteobacteria"
"4809"	"Gammaproteobacteria"	"Proteobacteria"
"4810"	"Gammaproteobacteria"	"Proteobacteria"
"4811"	"Bacilli"	"Firmicutes"
"4812"	"Gammaproteobacteria"	"Proteobacteria"
"4813"	"Gammaproteobacteria"	"Proteobacteria"
"4814"	"Bacilli"	"Firmicutes"
"4815"	"Gammaproteobacteria"	"Proteobacteria"
"4816"	"Bacilli"	"Firmicutes"
"4817"	"Gammaproteobacteria"	"Proteobacteria"
"4818"	"Gammaproteobacteria"	"Proteobacteria"
"4819"	"Gammaproteobacteria"	"Proteobacteria"
"4820"	"Bacteroidia"	"Bacteroidota"
"4821"	"Bacteroidia"	"Bacteroidota"
"4822"	"Bacteroidia"	"Bacteroidota"
"4823"	"Bacilli"	"Firmicutes"
"4824"	"Bacilli"	"Firmicutes"
"4825"	"Alphaproteobacteria"	"Proteobacteria"
"4826"	"Alphaproteobacteria"	"Proteobacteria"
"4827"	"Vicinamibacteria"	"Acidobacteriota"
"4828"	"Bacilli"	"Firmicutes"
"4829"	"Bacilli"	"Firmicutes"
"4830"	"Gammaproteobacteria"	"Proteobacteria"
"4831"	"Actinomycetia"	"Actinobacteriota"
"4832"	"Actinomycetia"	"Actinobacteriota"
"4833"	"Gammaproteobacteria"	"Proteobacteria"
"4834"	"Gammaproteobacteria"	"Proteobacteria"
"4835"	"Gammaproteobacteria"	"Proteobacteria"
"4836"	"Gammaproteobacteria"	"Proteobacteria"
"4837"	"Gammaproteobacteria"	"Proteobacteria"
"4838"	"Alphaproteobacteria"	"Proteobacteria"
"4839"	"Bacilli"	"Firmicutes"
"4840"	"Actinomycetia"	"Actinobacteriota"
"4841"	"Gammaproteobacteria"	"Proteobacteria"
"4842"	"Gammaproteobacteria"	"Proteobacteria"
"4843"	"Bacilli"	"Firmicutes"
"4844"	"Gammaproteobacteria"	"Proteobacteria"
"4845"	"Gammaproteobacteria"	"Proteobacteria"
"4846"	"Gammaproteobacteria"	"Proteobacteria"
"4847"	"Gammaproteobacteria"	"Proteobacteria"
"4848"	"Gammaproteobacteria"	"Proteobacteria"
"4849"	"Gammaproteobacteria"	"Proteobacteria"
"4850"	"Gammaproteobacteria"	"Proteobacteria"
"4851"	"Gammaproteobacteria"	"Proteobacteria"
"4852"	"Gammaproteobacteria"	"Proteobacteria"
"4853"	"Gammaproteobacteria"	"Proteobacteria"
"4854"	"Gammaproteobacteria"	"Proteobacteria"
"4855"	"Gammaproteobacteria"	"Proteobacteria"
"4856"	"Gammaproteobacteria"	"Proteobacteria"
"4857"	"Gammaproteobacteria"	"Proteobacteria"
"4858"	"Alphaproteobacteria"	"Proteobacteria"
"4859"	"Gammaproteobacteria"	"Proteobacteria"
"4860"	"Gammaproteobacteria"	"Proteobacteria"
"4861"	"Gammaproteobacteria"	"Proteobacteria"
"4862"	"Bacilli"	"Firmicutes"
"4863"	"Bacilli"	"Firmicutes"
"4864"	"Gammaproteobacteria"	"Proteobacteria"
"4865"	"Gammaproteobacteria"	"Proteobacteria"
"4866"	"Gammaproteobacteria"	"Proteobacteria"
"4867"	"Gammaproteobacteria"	"Proteobacteria"
"4868"	"Gammaproteobacteria"	"Proteobacteria"
"4869"	"Gammaproteobacteria"	"Proteobacteria"
"4870"	"Actinomycetia"	"Actinobacteriota"
"4871"	"Gammaproteobacteria"	"Proteobacteria"
"4872"	"Gammaproteobacteria"	"Proteobacteria"
"4873"	"Actinomycetia"	"Actinobacteriota"
"4874"	"Alphaproteobacteria"	"Proteobacteria"
"4875"	"Alphaproteobacteria"	"Proteobacteria"
"4876"	"Bacilli"	"Firmicutes"
"4877"	"Bacilli"	"Firmicutes"
"4878"	"Bacilli"	"Firmicutes"
"4879"	"Gammaproteobacteria"	"Proteobacteria"
"4880"	"Gammaproteobacteria"	"Proteobacteria"
"4881"	"Bacilli"	"Firmicutes"
"4882"	"Bacilli"	"Firmicutes"
"4883"	"Bacilli"	"Firmicutes"
"4884"	"Bacilli"	"Firmicutes"
"4885"	"Bacilli"	"Firmicutes"
"4886"	"Bacilli"	"Firmicutes"
"4887"	"Bacilli"	"Firmicutes"
"4888"	"Gammaproteobacteria"	"Proteobacteria"
"4889"	"Gammaproteobacteria"	"Proteobacteria"
"4890"	"Gammaproteobacteria"	"Proteobacteria"
"4891"	"Gammaproteobacteria"	"Proteobacteria"
"4892"	"Gammaproteobacteria"	"Proteobacteria"
"4893"	"Gammaproteobacteria"	"Proteobacteria"
"4894"	"Actinomycetia"	"Actinobacteriota"
"4895"	"Alphaproteobacteria"	"Proteobacteria"
"4896"	"Deinococci"	"Deinococcota"
"4897"	"Bacilli"	"Firmicutes"
"4898"	"Alphaproteobacteria"	"Proteobacteria"
"4899"	"Campylobacteria"	"Campylobacterota"
"4900"	"Bacilli"	"Firmicutes"
"4901"	"Bacteroidia"	"Bacteroidota"
"4902"	"Bacilli"	"Firmicutes"
"4903"	"Bacilli"	"Firmicutes"
"4904"	"Bacilli"	"Firmicutes"
"4905"	"Bacilli"	"Firmicutes"
"4906"	"Gammaproteobacteria"	"Proteobacteria"
"4907"	"Actinomycetia"	"Actinobacteriota"
"4908"	"Bacilli"	"Firmicutes"
"4909"	"Bacteroidia"	"Bacteroidota"
"4910"	"Gammaproteobacteria"	"Proteobacteria"
"4911"	"Bacilli"	"Firmicutes"
"4912"	"Gammaproteobacteria"	"Proteobacteria"
"4913"	"Bacilli"	"Firmicutes"
"4914"	"Clostridia"	"Firmicutes"
"4915"	"Alphaproteobacteria"	"Proteobacteria"
"4916"	"Gammaproteobacteria"	"Proteobacteria"
"4917"	"Bacilli"	"Firmicutes"
"4918"	"Actinomycetia"	"Actinobacteriota"
"4919"	"Actinomycetia"	"Actinobacteriota"
"4920"	"Gammaproteobacteria"	"Proteobacteria"
"4921"	"Coriobacteriia"	"Actinobacteriota"
"4922"	"Campylobacteria"	"Campylobacterota"
"4923"	"Campylobacteria"	"Campylobacterota"
"4924"	"Campylobacteria"	"Campylobacterota"
"4925"	"Deinococci"	"Deinococcota"
"4926"	"Actinomycetia"	"Actinobacteriota"
"4927"	"Bacilli"	"Firmicutes"
"4928"	"Bacilli"	"Firmicutes"
"4929"	"Bacteroidia"	"Bacteroidota"
"4930"	"Thermotogae"	"Thermotogota"
"4931"	"Gammaproteobacteria"	"Proteobacteria"
"4932"	"Gammaproteobacteria"	"Proteobacteria"
"4933"	"Gammaproteobacteria"	"Proteobacteria"
"4934"	"Gammaproteobacteria"	"Proteobacteria"
"4935"	"Gammaproteobacteria"	"Proteobacteria"
"4936"	"Gammaproteobacteria"	"Proteobacteria"
"4937"	"Bacilli"	"Firmicutes"
"4938"	"Clostridia"	"Firmicutes"
"4939"	"Gammaproteobacteria"	"Proteobacteria"
"4940"	"Gammaproteobacteria"	"Proteobacteria"
"4941"	"Gammaproteobacteria"	"Proteobacteria"
"4942"	"Gammaproteobacteria"	"Proteobacteria"
"4943"	"Gammaproteobacteria"	"Proteobacteria"
"4944"	"Gammaproteobacteria"	"Proteobacteria"
"4945"	"Gammaproteobacteria"	"Proteobacteria"
"4946"	"Gammaproteobacteria"	"Proteobacteria"
"4947"	"Gammaproteobacteria"	"Proteobacteria"
"4948"	"Gammaproteobacteria"	"Proteobacteria"
"4949"	"Gammaproteobacteria"	"Proteobacteria"
"4950"	"Gammaproteobacteria"	"Proteobacteria"
"4951"	"Gammaproteobacteria"	"Proteobacteria"
"4952"	"Gammaproteobacteria"	"Proteobacteria"
"4953"	"Gammaproteobacteria"	"Proteobacteria"
"4954"	"Gammaproteobacteria"	"Proteobacteria"
"4955"	"Gammaproteobacteria"	"Proteobacteria"
"4956"	"Bacteroidia"	"Bacteroidota"
"4957"	"Gammaproteobacteria"	"Proteobacteria"
"4958"	"Gammaproteobacteria"	"Proteobacteria"
"4959"	"Gammaproteobacteria"	"Proteobacteria"
"4960"	"Actinomycetia"	"Actinobacteriota"
"4961"	"Gammaproteobacteria"	"Proteobacteria"
"4962"	"Gammaproteobacteria"	"Proteobacteria"
"4963"	"Gammaproteobacteria"	"Proteobacteria"
"4964"	"Gammaproteobacteria"	"Proteobacteria"
"4965"	"Gammaproteobacteria"	"Proteobacteria"
"4966"	"Gammaproteobacteria"	"Proteobacteria"
"4967"	"Gammaproteobacteria"	"Proteobacteria"
"4968"	NA	NA
"4969"	"Actinomycetia"	"Actinobacteriota"
"4970"	"Alphaproteobacteria"	"Proteobacteria"
"4971"	"Gammaproteobacteria"	"Proteobacteria"
"4972"	"Alphaproteobacteria"	"Proteobacteria"
"4973"	"Gammaproteobacteria"	"Proteobacteria"
"4974"	"Gammaproteobacteria"	"Proteobacteria"
"4975"	"Gammaproteobacteria"	"Proteobacteria"
"4976"	"Actinomycetia"	"Actinobacteriota"
"4977"	"Actinomycetia"	"Actinobacteriota"
"4978"	"Actinomycetia"	"Actinobacteriota"
"4979"	"Actinomycetia"	"Actinobacteriota"
"4980"	"Campylobacteria"	"Campylobacterota"
"4981"	"Campylobacteria"	"Campylobacterota"
"4982"	"Campylobacteria"	"Campylobacterota"
"4983"	"Campylobacteria"	"Campylobacterota"
"4984"	"Campylobacteria"	"Campylobacterota"
"4985"	"Campylobacteria"	"Campylobacterota"
"4986"	"Bacteroidia"	"Bacteroidota"
"4987"	"Gammaproteobacteria"	"Proteobacteria"
"4988"	"Gammaproteobacteria"	"Proteobacteria"
"4989"	"Gammaproteobacteria"	"Proteobacteria"
"4990"	"Gammaproteobacteria"	"Proteobacteria"
"4991"	"Gammaproteobacteria"	"Proteobacteria"
"4992"	"Bacteroidia"	"Bacteroidota"
"4993"	"Bacilli"	"Firmicutes"
"4994"	"Actinomycetia"	"Actinobacteriota"
"4995"	"Gammaproteobacteria"	"Proteobacteria"
"4996"	"Actinomycetia"	"Actinobacteriota"
"4997"	"Gammaproteobacteria"	"Proteobacteria"
"4998"	"Chlamydiia"	"Chlamydiota"
"4999"	"Chlamydiia"	"Chlamydiota"
"5000"	"Chlamydiia"	"Chlamydiota"
"5001"	"Chlamydiia"	"Chlamydiota"
"5002"	"Chlamydiia"	"Chlamydiota"
"5003"	"Chlamydiia"	"Chlamydiota"
"5004"	"Chlamydiia"	"Chlamydiota"
"5005"	"Gammaproteobacteria"	"Proteobacteria"
"5006"	"Gammaproteobacteria"	"Proteobacteria"
"5007"	"Bacilli"	"Firmicutes"
"5008"	"Bacilli"	"Firmicutes"
"5009"	"Alphaproteobacteria"	"Proteobacteria"
"5010"	"Gammaproteobacteria"	"Proteobacteria"
"5011"	"Bacteroidia"	"Bacteroidota"
"5012"	"Bacilli"	"Firmicutes"
"5013"	"Actinomycetia"	"Actinobacteriota"
"5014"	"Spirochaetia"	"Spirochaetota"
"5015"	"Bacilli"	"Firmicutes"
"5016"	"Actinomycetia"	"Actinobacteriota"
"5017"	"Actinomycetia"	"Actinobacteriota"
"5018"	"Bacilli"	"Firmicutes"
"5019"	"Gammaproteobacteria"	"Proteobacteria"
"5020"	"Gammaproteobacteria"	"Proteobacteria"
"5021"	"Gammaproteobacteria"	"Proteobacteria"
"5022"	"Gammaproteobacteria"	"Proteobacteria"
"5023"	"Gammaproteobacteria"	"Proteobacteria"
"5024"	"Gammaproteobacteria"	"Proteobacteria"
"5025"	"Alphaproteobacteria"	"Proteobacteria"
"5026"	"Gammaproteobacteria"	"Proteobacteria"
"5027"	"Gammaproteobacteria"	"Proteobacteria"
"5028"	"Gammaproteobacteria"	"Proteobacteria"
"5029"	"Gammaproteobacteria"	"Proteobacteria"
"5030"	"Alphaproteobacteria"	"Proteobacteria"
"5031"	"Alphaproteobacteria"	"Proteobacteria"
"5032"	"Gammaproteobacteria"	"Proteobacteria"
"5033"	"Gammaproteobacteria"	"Proteobacteria"
"5034"	"Bacilli"	"Firmicutes"
"5035"	"Gammaproteobacteria"	"Proteobacteria"
"5036"	"Gammaproteobacteria"	"Proteobacteria"
"5037"	"Gammaproteobacteria"	"Proteobacteria"
"5038"	"Gammaproteobacteria"	"Proteobacteria"
"5039"	"Actinomycetia"	"Actinobacteriota"
"5040"	"Bacilli"	"Firmicutes"
"5041"	"Bacilli"	"Firmicutes"
"5042"	"Bacilli"	"Firmicutes"
"5043"	"Bacilli"	"Firmicutes"
"5044"	"Bacilli"	"Firmicutes"
"5045"	"Bacilli"	"Firmicutes"
"5046"	"Gammaproteobacteria"	"Proteobacteria"
"5047"	"Bacilli"	"Firmicutes"
"5048"	"Gammaproteobacteria"	"Proteobacteria"
"5049"	"Alphaproteobacteria"	"Proteobacteria"
"5050"	"Alphaproteobacteria"	"Proteobacteria"
"5051"	"Alphaproteobacteria"	"Proteobacteria"
"5052"	"Alphaproteobacteria"	"Proteobacteria"
"5053"	"Alphaproteobacteria"	"Proteobacteria"
"5054"	"Alphaproteobacteria"	"Proteobacteria"
"5055"	"Alphaproteobacteria"	"Proteobacteria"
"5056"	"Alphaproteobacteria"	"Proteobacteria"
"5057"	"Alphaproteobacteria"	"Proteobacteria"
"5058"	"Alphaproteobacteria"	"Proteobacteria"
"5059"	"Alphaproteobacteria"	"Proteobacteria"
"5060"	"Alphaproteobacteria"	"Proteobacteria"
"5061"	"Alphaproteobacteria"	"Proteobacteria"
"5062"	"Alphaproteobacteria"	"Proteobacteria"
"5063"	"Alphaproteobacteria"	"Proteobacteria"
"5064"	"Alphaproteobacteria"	"Proteobacteria"
"5065"	"Alphaproteobacteria"	"Proteobacteria"
"5066"	"Alphaproteobacteria"	"Proteobacteria"
"5067"	"Alphaproteobacteria"	"Proteobacteria"
"5068"	"Alphaproteobacteria"	"Proteobacteria"
"5069"	"Alphaproteobacteria"	"Proteobacteria"
"5070"	"Alphaproteobacteria"	"Proteobacteria"
"5071"	"Alphaproteobacteria"	"Proteobacteria"
"5072"	"Gammaproteobacteria"	"Proteobacteria"
"5073"	"Gammaproteobacteria"	"Proteobacteria"
"5074"	"Bacteroidia"	"Bacteroidota"
"5075"	"Bacilli"	"Firmicutes"
"5076"	"Alphaproteobacteria"	"Proteobacteria"
"5077"	"Alphaproteobacteria"	"Proteobacteria"
"5078"	"Gammaproteobacteria"	"Proteobacteria"
"5079"	"Gammaproteobacteria"	"Proteobacteria"
"5080"	"Gammaproteobacteria"	"Proteobacteria"
"5081"	"Gammaproteobacteria"	"Proteobacteria"
"5082"	"Gammaproteobacteria"	"Proteobacteria"
"5083"	"Gammaproteobacteria"	"Proteobacteria"
"5084"	"Gammaproteobacteria"	"Proteobacteria"
"5085"	"Gammaproteobacteria"	"Proteobacteria"
"5086"	"Alphaproteobacteria"	"Proteobacteria"
"5087"	"Brachyspirae"	"Spirochaetota"
"5088"	"Bacilli"	"Firmicutes"
"5089"	"Gammaproteobacteria"	"Proteobacteria"
"5090"	"Gammaproteobacteria"	"Proteobacteria"
"5091"	"Actinomycetia"	"Actinobacteriota"
"5092"	"Gammaproteobacteria"	"Proteobacteria"
"5093"	"Actinomycetia"	"Actinobacteriota"
"5094"	"Actinomycetia"	"Actinobacteriota"
"5095"	"Actinomycetia"	"Actinobacteriota"
"5096"	"Actinomycetia"	"Actinobacteriota"
"5097"	"Actinomycetia"	"Actinobacteriota"
"5098"	NA	NA
"5099"	"Gammaproteobacteria"	"Proteobacteria"
"5100"	"Bacteroidia"	"Bacteroidota"
"5101"	"Gammaproteobacteria"	"Proteobacteria"
"5102"	"Gammaproteobacteria"	"Proteobacteria"
"5103"	"Gammaproteobacteria"	"Proteobacteria"
"5104"	"Gammaproteobacteria"	"Proteobacteria"
"5105"	"Bacilli"	"Firmicutes"
"5106"	"Actinomycetia"	"Actinobacteriota"
"5107"	"Gammaproteobacteria"	"Proteobacteria"
"5108"	"Alphaproteobacteria"	"Proteobacteria"
"5109"	"Gammaproteobacteria"	"Proteobacteria"
