EC number	Scoring Based on Function
1.10.5.1	1
1.10.9.1	1
1.10.99.1	1
1.10.99.2	1
1.10.99.3	1
1.11.1.1	1
1.11.1.B2	1
1.11.1.2	1
1.11.1.3	1
1.11.1.4	1
1.11.1.5	1
1.11.1.6	5
1.11.1.B6	1
1.11.1.B7	1
1.11.1.7	1
1.11.1.B8	1
1.11.1.8	1
1.11.1.9	1
1.11.1.10	1
1.11.1.B10	1
1.11.1.11	1
1.11.1.12	1
1.11.1.13	1
1.11.1.14	1
1.11.1.15	1
1.11.1.16	1
1.11.1.17	1
1.11.1.18	1
1.11.1.19	1
1.11.1.20	1
1.11.1.21	1
1.11.1.22	1
1.11.1.23	1
1.11.1.24	1
1.11.1.25	1
1.11.1.26	1
1.11.1.27	1
1.11.1.28	1
1.11.1.29	1
1.11.2.1	1
1.11.2.2	1
1.11.2.3	1
1.11.2.4	1
1.11.2.5	1
1.11.2.6	1
1.12.1.1	1
1.12.1.2	1
1.12.1.3	1
1.12.1.4	1
1.12.1.5	1
1.12.2.1	5
1.12.5.1	1
1.12.7.1	1
1.12.7.2	1
1.12.98.1	1
1.12.98.B1	1
1.12.98.2	1
1.12.98.3	1
1.12.98.4	1
1.12.99.1	1
1.12.99.2	1
1.12.99.3	1
1.12.99.4	1
1.12.99.5	1
1.12.99.6	1
1.13.11.B1	1
1.13.11.1	1
1.13.11.2	1
1.13.11.3	5
1.13.11.4	1
1.13.11.5	1
1.13.11.6	1
1.13.11.B6	1
1.13.11.7	1
1.13.11.8	5
1.13.11.9	1
1.13.11.10	1
1.13.11.11	1
1.13.11.12	1
1.13.11.13	1
1.13.11.14	1
1.13.11.15	1
1.13.11.16	1
1.13.11.17	1
1.13.11.18	1
1.13.11.19	1
1.13.11.20	1
1.13.11.21	1
1.13.11.22	1
1.13.11.23	1
1.13.11.24	1
1.13.11.25	1
1.13.11.26	1
1.13.11.27	1
1.13.11.28	1
1.13.11.29	1
1.13.11.30	1
1.13.11.31	1
1.13.11.32	1
1.13.11.33	1
1.13.11.34	1
1.13.11.35	1
1.13.11.36	1
1.13.11.37	1
1.13.11.38	5
1.13.11.39	5
1.13.11.40	1
1.13.11.41	1
1.13.11.42	1
1.13.11.43	1
1.13.11.44	1
1.13.11.45	1
1.13.11.46	1
1.13.11.47	1
1.13.11.48	1
1.13.11.49	1
1.13.11.50	1
1.13.11.51	1
1.13.11.52	1
1.13.11.53	1
1.13.11.54	1
1.13.11.55	1
1.13.11.56	1
1.13.11.57	1
1.13.11.58	1
1.13.11.59	1
1.13.11.60	1
1.13.11.61	1
1.13.11.62	1
1.13.11.63	1
1.13.11.64	1
1.13.11.65	1
1.13.11.66	1
1.13.11.67	1
1.13.11.68	1
1.13.11.69	1
1.13.11.70	1
1.13.11.71	1
1.13.11.72	1
1.13.11.73	1
1.13.11.74	1
1.13.11.75	1
1.13.11.76	1
1.13.11.77	1
1.13.11.78	1
1.13.11.79	1
1.13.11.80	1
1.13.11.81	1
1.13.11.82	1
1.13.11.83	1
1.13.11.84	1
1.13.11.85	1
1.13.11.86	1
1.13.11.87	1
1.13.11.88	1
1.13.11.89	1
1.13.11.90	1
1.13.11.91	1
1.13.12.1	1
1.13.12.2	1
1.13.12.3	1
1.13.12.4	1
1.13.12.5	1
1.13.12.6	1
1.13.12.7	1
1.13.12.8	1
1.13.12.9	1
1.13.12.10	1
1.13.12.11	1
1.13.12.12	1
1.13.12.13	1
1.13.12.14	1
1.13.12.15	1
1.13.12.16	1
1.13.12.17	1
1.13.12.18	1
1.13.12.19	1
1.13.12.20	1
1.13.12.21	1
1.13.12.22	1
1.13.12.23	1
1.13.12.24	1
1.13.99.B1	1
1.13.99.1	1
1.13.99.2	1
1.13.99.3	1
1.13.99.4	1
1.13.99.5	1
1.14.11.1	1
1.14.11.2	1
1.14.11.B3	1
1.14.11.3	1
1.14.11.4	1
1.14.11.5	1
1.14.11.6	1
1.14.11.7	1
1.14.11.8	1
1.14.11.9	1
1.14.11.10	1
1.14.11.11	1
1.14.11.12	1
1.14.11.13	1
1.14.11.14	1
1.14.11.15	1
1.14.11.B15	1
1.14.11.B16	1
1.14.11.16	1
1.14.11.B17	1
1.14.11.17	1
1.14.11.B18	1
1.14.11.18	1
1.14.11.19	1
1.14.11.B19	1
1.14.11.20	1
1.14.11.21	1
1.14.11.22	1
1.14.11.23	1
1.14.11.24	1
1.14.11.25	1
1.14.11.26	1
1.14.11.27	1
1.14.11.28	1
1.14.11.29	1
1.14.11.30	1
1.14.11.31	1
1.14.11.32	1
1.14.11.33	1
1.14.11.34	1
1.14.11.35	1
1.14.11.36	1
1.14.11.37	1
1.14.11.38	1
1.14.11.39	1
1.14.11.40	1
1.14.11.41	1
1.14.11.42	1
1.14.11.43	1
1.14.11.44	1
1.14.11.45	1
1.14.11.46	1
1.14.11.47	1
1.14.11.48	1
1.14.11.49	1
1.14.11.50	1
1.14.11.51	1
1.14.11.52	1
1.14.11.53	1
1.14.11.54	1
1.14.11.55	1
1.14.11.56	1
1.14.11.57	1
1.14.11.58	1
1.14.11.59	1
1.14.11.60	1
1.14.11.61	1
1.14.11.62	1
1.14.11.63	1
1.14.11.64	1
1.14.11.65	1
1.14.11.66	1
1.14.11.67	1
1.14.11.68	1
1.14.11.69	1
1.14.11.70	1
1.14.11.71	1
1.14.11.72	1
1.14.11.73	1
1.14.11.74	1
1.14.11.75	1
1.14.11.76	1
1.14.12.1	1
1.14.12.2	1
1.14.12.3	1
1.14.12.4	1
1.14.12.5	1
1.14.12.6	1
1.14.12.7	5
1.14.12.8	1
1.14.12.9	1
1.14.12.10	1
1.14.12.11	1
1.14.12.12	5
1.14.12.13	1
1.14.12.14	1
1.14.12.15	5
1.14.12.16	1
1.14.12.17	1
1.14.12.18	1
1.14.12.19	1
1.14.12.20	1
1.14.12.21	1
1.14.12.22	1
1.14.12.23	1
1.14.12.24	1
1.14.12.25	1
1.14.12.26	1
1.14.13.B1	1
1.14.13.1	5
1.14.13.2	1
1.14.13.3	1
1.14.13.4	1
1.14.13.5	1
1.14.13.6	1
1.14.13.7	1
1.14.13.8	1
1.14.13.9	1
1.14.13.10	1
1.14.13.11	1
1.14.13.12	1
1.14.13.13	1
1.14.13.14	1
1.14.13.B14	1
1.14.13.15	1
1.14.13.16	1
1.14.13.17	1
1.14.13.18	1
1.14.13.19	1
1.14.13.20	1
1.14.13.21	1
1.14.13.22	1
1.14.13.23	5
1.14.13.24	1
1.14.13.25	5
1.14.13.26	1
1.14.13.27	1
1.14.13.28	1
1.14.13.B28	1
1.14.13.29	1
1.14.13.30	1
1.14.13.B30	1
1.14.13.31	1
1.14.13.32	1
1.14.13.33	1
1.14.13.34	1
1.14.13.35	1
1.14.13.36	1
1.14.13.37	1
1.14.13.38	1
1.14.13.39	1
1.14.13.40	1
1.14.13.41	1
1.14.13.42	1
1.14.13.43	1
1.14.13.44	1
1.14.13.45	1
1.14.13.46	1
1.14.13.47	1
1.14.13.48	1
1.14.13.49	1
1.14.13.50	1
1.14.13.51	1
1.14.13.52	1
1.14.13.53	1
1.14.13.54	1
1.14.13.55	1
1.14.13.56	1
1.14.13.57	1
1.14.13.58	1
1.14.13.59	1
1.14.13.60	1
1.14.13.61	1
1.14.13.62	1
1.14.13.63	1
1.14.13.64	1
1.14.13.65	1
1.14.13.66	1
1.14.13.67	1
1.14.13.68	1
1.14.13.69	1
1.14.13.70	1
1.14.13.71	1
1.14.13.72	1
1.14.13.73	1
1.14.13.74	1
1.14.13.75	1
1.14.13.76	1
1.14.13.77	1
1.14.13.78	1
1.14.13.79	1
1.14.13.80	1
1.14.13.81	1
1.14.13.82	1
1.14.13.83	1
1.14.13.84	1
1.14.13.85	1
1.14.13.86	1
1.14.13.87	1
1.14.13.88	1
1.14.13.89	1
1.14.13.90	1
1.14.13.91	1
1.14.13.92	1
1.14.13.93	1
1.14.13.94	1
1.14.13.95	1
1.14.13.96	1
1.14.13.97	1
1.14.13.98	1
1.14.13.99	1
1.14.13.100	1
1.14.13.101	1
1.14.13.102	1
1.14.13.103	1
1.14.13.104	1
1.14.13.105	1
1.14.13.106	1
1.14.13.107	1
1.14.13.108	1
1.14.13.109	1
1.14.13.110	1
1.14.13.111	1
1.14.13.112	1
1.14.13.113	1
1.14.13.114	1
1.14.13.115	1
1.14.13.116	1
1.14.13.117	1
1.14.13.118	1
1.14.13.119	1
1.14.13.120	1
1.14.13.121	1
1.14.13.122	1
1.14.13.123	1
1.14.13.124	1
1.14.13.125	1
1.14.13.126	1
1.14.13.127	1
1.14.13.128	1
1.14.13.129	1
1.14.13.130	1
1.14.13.131	1
1.14.13.132	1
1.14.13.133	1
1.14.13.134	1
1.14.13.135	1
1.14.13.136	1
1.14.13.137	1
1.14.13.138	1
1.14.13.139	1
1.14.13.140	1
1.14.13.141	1
1.14.13.142	1
1.14.13.143	1
1.14.13.144	1
1.14.13.145	1
1.14.13.146	1
1.14.13.147	1
1.14.13.148	1
1.14.13.149	1
1.14.13.150	1
1.14.13.151	1
1.14.13.152	1
1.14.13.153	1
1.14.13.154	1
1.14.13.155	1
1.14.13.156	1
1.14.13.157	1
1.14.13.158	1
1.14.13.159	1
1.14.13.160	1
1.14.13.161	1
1.14.13.162	1
1.14.13.163	1
1.14.13.166	1
1.14.13.167	1
1.14.13.168	1
1.14.13.169	1
1.14.13.170	1
1.14.13.171	1
1.14.13.172	1
1.14.13.173	1
1.14.13.174	1
1.14.13.175	1
1.14.13.176	1
1.14.13.177	1
1.14.13.178	1
1.14.13.179	1
1.14.13.180	1
1.14.13.181	1
1.14.13.182	1
1.14.13.183	1
1.14.13.184	1
1.14.13.185	1
1.14.13.186	1
1.14.13.187	1
1.14.13.188	1
1.14.13.189	1
1.14.13.190	1
1.14.13.191	1
1.14.13.192	1
1.14.13.193	1
1.14.13.194	1
1.14.13.195	1
1.14.13.196	1
1.14.13.197	1
1.14.13.198	1
1.14.13.199	1
1.14.13.200	1
1.14.13.201	1
1.14.13.202	1
1.14.13.203	1
1.14.13.204	1
1.14.13.205	1
1.14.13.206	1
1.14.13.207	1
1.14.13.208	1
1.14.13.209	1
1.14.13.210	1
1.14.13.211	1
1.14.13.212	1
1.14.13.213	1
1.14.13.214	1
1.14.13.215	1
1.14.13.216	1
1.14.13.217	1
1.14.13.218	1
1.14.13.219	1
1.14.13.220	1
1.14.13.221	1
1.14.13.222	1
1.14.13.223	1
1.14.13.224	1
1.14.13.225	1
1.14.13.226	1
1.14.13.227	1
1.14.13.228	1
1.14.13.229	1
1.14.13.230	1
1.14.13.231	1
1.14.13.232	1
1.14.13.233	1
1.14.13.234	1
1.14.13.235	1
1.14.13.236	1
1.14.13.237	1
1.14.13.238	1
1.14.13.239	1
1.14.13.240	1
1.14.13.241	1
1.14.13.242	1
1.14.13.243	1
1.14.13.244	1
1.14.13.245	1
1.14.13.246	1
1.14.13.247	1
1.14.14.1	1
1.14.14.2	1
1.14.14.3	1
1.14.14.4	1
1.14.14.5	1
1.14.14.6	1
1.14.14.7	1
1.14.14.8	1
1.14.14.9	1
1.14.14.B9	1
1.14.14.B10	1
1.14.14.10	1
1.14.14.B11	1
1.14.14.11	1
1.14.14.12	1
1.14.14.13	1
1.14.14.B13	1
1.14.14.14	1
1.14.14.15	1
1.14.14.16	1
1.14.14.17	1
1.14.14.18	1
1.14.14.19	1
1.14.14.20	1
1.14.14.21	1
1.14.14.22	1
1.14.14.23	1
1.14.14.24	1
1.14.14.25	1
1.14.14.26	1
1.14.14.27	1
1.14.14.28	1
1.14.14.29	1
1.14.14.30	1
1.14.14.31	1
1.14.14.32	1
1.14.14.33	1
1.14.14.34	1
1.14.14.35	1
1.14.14.36	1
1.14.14.37	1
1.14.14.38	1
1.14.14.39	1
1.14.14.40	1
1.14.14.41	1
1.14.14.42	1
1.14.14.43	1
1.14.14.44	1
1.14.14.45	1
1.14.14.46	1
1.14.14.47	1
1.14.14.48	1
1.14.14.49	1
1.14.14.50	1
1.14.14.51	1
1.14.14.52	1
1.14.14.53	1
1.14.14.54	1
1.14.14.55	1
1.14.14.56	1
1.14.14.57	1
1.14.14.58	1
1.14.14.59	1
1.14.14.60	1
1.14.14.61	1
1.14.14.62	1
1.14.14.63	1
1.14.14.64	1
1.14.14.65	1
1.14.14.66	1
1.14.14.67	1
1.14.14.68	1
1.14.14.69	1
1.14.14.70	1
1.14.14.71	1
1.14.14.72	1
1.14.14.73	1
1.14.14.74	1
1.14.14.75	1
1.14.14.76	1
1.14.14.77	1
1.14.14.78	1
1.14.14.79	1
1.14.14.80	1
1.14.14.81	1
1.14.14.82	1
1.14.14.83	1
1.14.14.84	1
1.14.14.85	1
1.14.14.86	1
1.14.14.87	1
1.14.14.88	1
1.14.14.89	1
1.14.14.90	1
1.14.14.91	1
1.14.14.92	1
1.14.14.93	1
1.14.14.94	1
1.14.14.95	1
1.14.14.96	1
1.14.14.97	1
1.14.14.98	1
1.14.14.99	1
1.14.14.100	1
1.14.14.101	1
1.14.14.102	1
1.14.14.103	1
1.14.14.104	1
1.14.14.105	1
1.14.14.106	1
1.14.14.107	1
1.14.14.108	1
1.14.14.109	1
1.14.14.110	1
1.14.14.111	1
1.14.14.112	1
1.14.14.113	1
1.14.14.114	1
1.14.14.115	1
1.14.14.116	1
1.14.14.117	1
1.14.14.118	1
1.14.14.119	1
1.14.14.120	1
1.14.14.121	1
1.14.14.122	1
1.14.14.123	1
1.14.14.124	1
1.14.14.125	1
1.14.14.126	1
1.14.14.127	1
1.14.14.128	1
1.14.14.129	1
1.14.14.130	1
1.14.14.131	1
1.14.14.132	1
1.14.14.133	1
1.14.14.134	1
1.14.14.135	1
1.14.14.136	1
1.14.14.137	1
1.14.14.138	1
1.14.14.139	1
1.14.14.140	1
1.14.14.141	1
1.14.14.142	1
1.14.14.143	1
1.14.14.144	1
1.14.14.145	1
1.14.14.146	1
1.14.14.147	1
1.14.14.148	1
1.14.14.149	1
1.14.14.150	1
1.14.14.151	1
1.14.14.152	1
1.14.14.153	1
1.14.14.154	1
1.14.14.155	1
1.14.14.156	1
1.14.14.157	1
1.14.14.158	1
1.14.14.159	1
1.14.14.160	1
1.14.14.161	1
1.14.14.162	1
1.14.14.163	1
1.14.14.164	1
1.14.14.165	1
1.14.14.166	1
1.14.14.167	1
1.14.14.168	1
1.14.14.169	1
1.14.14.170	1
1.14.14.171	1
1.14.14.172	1
1.14.14.173	1
1.14.14.174	1
1.14.14.175	1
1.14.14.176	1
1.14.15.1	1
1.14.15.2	1
1.14.15.3	1
1.14.15.4	1
1.14.15.5	1
1.14.15.6	1
1.14.15.7	1
1.14.15.8	1
1.14.15.9	1
1.14.15.10	1
1.14.15.11	1
1.14.15.12	1
1.14.15.13	1
1.14.15.14	1
1.14.15.15	1
1.14.15.16	1
1.14.15.17	1
1.14.15.18	1
1.14.15.19	1
1.14.15.20	1
1.14.15.21	1
1.14.15.22	1
1.14.15.23	1
1.14.15.24	1
1.14.15.25	1
1.14.15.26	1
1.14.15.27	1
1.14.15.28	1
1.14.15.29	1
1.14.15.30	1
1.14.15.31	1
1.14.15.32	1
1.14.15.33	1
1.14.15.34	1
1.14.15.35	1
1.14.15.36	1
1.14.15.37	1
1.14.15.38	1
1.14.16.1	1
1.14.16.2	1
1.14.16.3	1
1.14.16.4	1
1.14.16.5	1
1.14.16.6	1
1.14.16.7	1
1.14.17.1	1
1.14.17.B1	1
1.14.17.2	1
1.14.17.3	1
1.14.17.4	1
1.14.18.B1	1
1.14.18.1	1
1.14.18.2	1
1.14.18.3	1
1.14.18.4	1
1.14.18.5	1
1.14.18.6	1
1.14.18.7	1
1.14.18.8	1
1.14.18.9	1
1.14.18.10	1
1.14.18.11	1
1.14.18.12	1
1.14.19.1	1
1.14.19.2	1
1.14.19.3	1
1.14.19.4	1
1.14.19.5	1
1.14.19.6	1
1.14.19.7	1
1.14.19.8	1
1.14.19.B8	1
1.14.19.B9	1
1.14.19.9	1
1.14.19.10	1
1.14.19.B10	1
1.14.19.11	1
1.14.19.12	1
1.14.19.13	1
1.14.19.14	1
1.14.19.15	1
1.14.19.16	1
1.14.19.17	1
1.14.19.18	1
1.14.19.19	1
1.14.19.20	1
1.14.19.21	1
1.14.19.22	1
1.14.19.23	1
1.14.19.24	1
1.14.19.25	1
1.14.19.26	1
1.14.19.27	1
1.14.19.28	1
1.14.19.29	1
1.14.19.30	1
1.14.19.31	1
1.14.19.32	1
1.14.19.33	1
1.14.19.34	1
1.14.19.35	1
1.14.19.36	1
1.14.19.37	1
1.14.19.38	1
1.14.19.39	1
1.14.19.40	1
1.14.19.41	1
1.14.19.42	1
1.14.19.43	1
1.14.19.44	1
1.14.19.45	1
1.14.19.46	1
1.14.19.47	1
1.14.19.48	1
1.14.19.49	1
1.14.19.50	1
1.14.19.51	1
1.14.19.52	1
1.14.19.53	1
1.14.19.54	1
1.14.19.55	1
1.14.19.56	1
1.14.19.57	1
1.14.19.58	1
1.14.19.59	1
1.14.19.60	1
1.14.19.61	1
1.14.19.62	1
1.14.19.63	1
1.14.19.64	1
1.14.19.65	1
1.14.19.66	1
1.14.19.67	1
1.14.19.68	1
1.14.19.69	1
1.14.19.70	1
1.14.19.71	1
1.14.19.72	1
1.14.19.73	1
1.14.19.74	1
1.14.19.75	1
1.14.19.76	1
1.14.19.77	1
1.14.20.1	1
1.14.20.2	1
1.14.20.3	1
1.14.20.4	1
1.14.20.5	1
1.14.20.6	1
1.14.20.7	1
1.14.20.8	1
1.14.20.9	1
1.14.20.10	1
1.14.20.11	1
1.14.20.12	1
1.14.20.13	1
1.14.20.14	1
1.14.20.15	1
1.14.21.B1	1
1.14.21.1	1
1.14.21.2	1
1.14.21.3	1
1.14.21.4	1
1.14.21.5	1
1.14.21.6	1
1.14.21.7	1
1.14.21.8	1
1.14.21.9	1
1.14.21.10	1
1.14.21.11	1
1.14.21.12	1
1.14.99.B1	1
1.14.99.1	1
1.14.99.2	1
1.14.99.3	1
1.14.99.B4	1
1.14.99.4	1
1.14.99.B5	1
1.14.99.5	1
1.14.99.6	1
1.14.99.7	1
1.14.99.8	1
1.14.99.9	1
1.14.99.B10	1
1.14.99.10	1
1.14.99.11	1
1.14.99.12	1
1.14.99.13	1
1.14.99.14	1
1.14.99.15	1
1.14.99.16	1
1.14.99.17	1
1.14.99.18	1
1.14.99.19	1
1.14.99.20	1
1.14.99.21	1
1.14.99.22	1
1.14.99.23	1
1.14.99.24	1
1.14.99.25	1
1.14.99.26	1
1.14.99.27	1
1.14.99.28	1
1.14.99.29	1
1.14.99.30	1
1.14.99.31	1
1.14.99.32	1
1.14.99.33	1
1.14.99.34	1
1.14.99.35	1
1.14.99.36	1
1.14.99.37	1
1.14.99.38	1
1.14.99.39	1
1.14.99.40	1
1.14.99.41	1
1.14.99.42	1
1.14.99.43	1
1.14.99.44	1
1.14.99.45	1
1.14.99.46	1
1.14.99.47	1
1.14.99.48	1
1.14.99.49	1
1.14.99.50	1
1.14.99.51	1
1.14.99.52	1
1.14.99.53	1
1.14.99.54	1
1.14.99.55	1
1.14.99.56	1
1.14.99.57	1
1.14.99.58	1
1.14.99.59	1
1.14.99.60	1
1.14.99.61	1
1.14.99.62	1
1.14.99.63	1
1.14.99.64	1
1.14.99.65	1
1.14.99.66	1
1.14.99.67	1
1.14.99.68	1
1.14.99.69	1
1.15.1.1	5
1.15.1.2	1
1.16.1.1	1
1.16.1.2	1
1.16.1.3	1
1.16.1.4	1
1.16.1.5	1
1.16.1.6	1
1.16.1.7	1
1.16.1.8	1
1.16.1.9	1
1.16.1.10	1
1.16.3.1	1
1.16.3.2	1
1.16.3.3	1
1.16.5.1	1
1.16.8.1	1
1.16.9.1	1
1.16.98.1	1
1.17.1.1	1
1.17.1.2	1
1.17.1.3	1
1.17.1.4	1
1.17.1.5	5
1.17.1.6	1
1.17.1.7	1
1.17.1.8	1
1.17.1.9	5
1.17.1.10	1
1.17.1.11	1
1.17.2.1	1
1.17.2.2	1
1.17.2.3	1
1.17.3.1	1
1.17.3.2	1
1.17.3.3	1
1.17.3.4	1
1.17.4.1	5
1.17.4.2	1
1.17.4.3	1
1.17.4.4	1
1.17.4.5	1
1.17.5.1	1
1.17.5.2	1
1.17.5.B2	1
1.17.5.3	1
1.17.7.1	1
1.17.7.2	1
1.17.7.3	1
1.17.7.4	1
1.17.8.1	1
1.17.9.1	1
1.17.9.2	1
1.17.98.1	1
1.17.98.2	1
1.17.98.3	1
1.17.98.4	1
1.17.99.1	1
1.17.99.2	1
1.17.99.3	1
1.17.99.4	1
1.17.99.5	1
1.17.99.6	1
1.17.99.7	1
1.17.99.8	1
1.17.99.9	1
1.17.99.10	1
1.17.99.11	1
1.18.1.1	1
1.18.1.2	1
1.18.1.3	1
1.18.1.4	1
1.18.1.5	1
1.18.1.6	1
1.18.1.7	1
1.18.1.8	1
1.18.3.1	1
1.18.6.1	5
1.18.6.2	1
1.18.96.1	1
1.18.99.1	1
1.19.1.1	1
1.19.6.1	1
1.20.1.1	1
1.20.2.1	1
1.20.4.1	1
1.20.4.2	1
1.20.4.3	1
1.20.4.4	1
1.20.9.1	1
1.20.98.1	1
1.20.99.1	1
1.21.1.1	1
1.21.1.2	1
1.21.3.1	1
1.21.3.2	1
1.21.3.3	1
1.21.3.4	1
1.21.3.5	1
1.21.3.6	1
1.21.3.7	1
1.21.3.8	1
1.21.3.9	1
1.21.4.1	1
1.21.4.2	1
1.21.4.3	1
1.21.4.4	1
1.21.4.5	1
1.21.98.1	1
1.21.98.2	1
1.21.98.3	1
1.21.98.4	1
1.21.99.1	1
1.21.99.2	1
1.21.99.3	1
1.21.99.4	1
1.21.99.5	1
1.22.1.1	1
1.23.1.1	1
1.23.1.2	1
1.23.1.3	1
1.23.1.4	1
1.23.5.1	1
1.97.1.1	1
1.97.1.2	1
1.97.1.3	1
1.97.1.4	1
1.97.1.5	1
1.97.1.6	1
1.97.1.7	1
1.97.1.8	1
1.97.1.9	1
1.97.1.10	1
1.97.1.11	1
1.97.1.12	1
2.1.1.1	1
2.1.1.2	1
2.1.1.B3	1
2.1.1.3	1
2.1.1.4	1
2.1.1.5	1
2.1.1.6	1
2.1.1.7	1
2.1.1.8	1
2.1.1.9	1
2.1.1.10	1
2.1.1.11	1
2.1.1.12	1
2.1.1.13	1
2.1.1.14	1
2.1.1.15	1
2.1.1.16	1
2.1.1.17	1
2.1.1.18	1
2.1.1.19	1
2.1.1.20	1
2.1.1.21	1
2.1.1.22	1
2.1.1.23	1
2.1.1.24	1
2.1.1.25	1
2.1.1.26	1
2.1.1.27	1
2.1.1.28	1
2.1.1.29	1
2.1.1.30	1
2.1.1.31	1
2.1.1.32	1
2.1.1.33	0.5
2.1.1.34	1
2.1.1.35	1
2.1.1.36	1
2.1.1.37	1
2.1.1.38	1
2.1.1.39	1
2.1.1.40	1
2.1.1.41	1
2.1.1.42	1
2.1.1.43	1
2.1.1.B43	1
2.1.1.44	1
2.1.1.45	5
2.1.1.46	1
2.1.1.47	1
2.1.1.48	1
2.1.1.49	1
2.1.1.50	1
2.1.1.51	1
2.1.1.52	1
2.1.1.53	1
2.1.1.54	1
2.1.1.55	1
2.1.1.56	1
2.1.1.57	1
2.1.1.58	1
2.1.1.59	1
2.1.1.60	1
2.1.1.61	1
2.1.1.62	1
2.1.1.63	1
2.1.1.64	1
2.1.1.65	1
2.1.1.66	1
2.1.1.67	1
2.1.1.68	1
2.1.1.69	1
2.1.1.70	1
2.1.1.71	1
2.1.1.72	5
2.1.1.73	1
2.1.1.B74	1
2.1.1.74	1
2.1.1.75	1
2.1.1.B75	1
2.1.1.B76	1
2.1.1.76	1
2.1.1.77	1
2.1.1.78	1
2.1.1.79	1
2.1.1.80	1
2.1.1.81	1
2.1.1.82	1
2.1.1.83	1
2.1.1.B83	1
2.1.1.B84	1
2.1.1.84	1
2.1.1.B85	1
2.1.1.85	1
2.1.1.86	1
2.1.1.87	1
2.1.1.88	1
2.1.1.89	1
2.1.1.90	1
2.1.1.91	1
2.1.1.92	1
2.1.1.93	1
2.1.1.94	1
2.1.1.95	1
2.1.1.96	1
2.1.1.97	1
2.1.1.98	1
2.1.1.99	1
2.1.1.100	1
2.1.1.101	1
2.1.1.102	1
2.1.1.103	1
2.1.1.104	1
2.1.1.105	1
2.1.1.106	1
2.1.1.107	1
2.1.1.108	1
2.1.1.109	1
2.1.1.B109	1
2.1.1.110	1
2.1.1.111	1
2.1.1.B112	1
2.1.1.112	1
2.1.1.113	1
2.1.1.B113	1
2.1.1.B114	1
2.1.1.114	1
2.1.1.115	1
2.1.1.116	1
2.1.1.117	1
2.1.1.B117	1
2.1.1.118	1
2.1.1.B118	1
2.1.1.119	1
2.1.1.B119	1
2.1.1.120	1
2.1.1.B120	1
2.1.1.121	1
2.1.1.B121	1
2.1.1.122	1
2.1.1.B122	1
2.1.1.B123	1
2.1.1.123	1
2.1.1.B124	1
2.1.1.124	1
2.1.1.B125	1
2.1.1.125	1
2.1.1.B126	1
2.1.1.126	1
2.1.1.B127	1
2.1.1.127	1
2.1.1.128	1
2.1.1.B128	1
2.1.1.129	1
2.1.1.130	1
2.1.1.B130	1
2.1.1.131	1
2.1.1.132	1
2.1.1.133	1
2.1.1.134	1
2.1.1.135	1
2.1.1.136	1
2.1.1.137	1
2.1.1.138	1
2.1.1.139	1
2.1.1.140	1
2.1.1.141	1
2.1.1.142	1
2.1.1.143	1
2.1.1.144	1
2.1.1.145	1
2.1.1.146	1
2.1.1.147	1
2.1.1.148	0.5
2.1.1.149	1
2.1.1.150	1
2.1.1.151	1
2.1.1.152	1
2.1.1.153	1
2.1.1.154	1
2.1.1.155	1
2.1.1.156	1
2.1.1.157	1
2.1.1.158	1
2.1.1.159	1
2.1.1.160	1
2.1.1.161	1
2.1.1.162	1
2.1.1.163	1
2.1.1.164	1
2.1.1.165	1
2.1.1.166	1
2.1.1.167	1
2.1.1.168	1
2.1.1.169	1
2.1.1.170	0.5
2.1.1.171	1
2.1.1.172	1
2.1.1.173	1
2.1.1.174	1
2.1.1.175	1
2.1.1.176	1
2.1.1.177	1
2.1.1.178	1
2.1.1.179	1
2.1.1.180	1
2.1.1.181	1
2.1.1.182	1
2.1.1.183	1
2.1.1.184	1
2.1.1.185	1
2.1.1.186	1
2.1.1.187	1
2.1.1.188	1
2.1.1.189	1
2.1.1.190	1
2.1.1.191	1
2.1.1.192	1
2.1.1.193	1
2.1.1.194	1
2.1.1.195	1
2.1.1.196	1
2.1.1.197	1
2.1.1.198	1
2.1.1.199	1
2.1.1.200	1
2.1.1.201	1
2.1.1.202	1
2.1.1.203	1
2.1.1.204	1
2.1.1.205	1
2.1.1.206	1
2.1.1.207	1
2.1.1.208	1
2.1.1.209	1
2.1.1.210	1
2.1.1.211	1
2.1.1.212	1
2.1.1.213	1
2.1.1.214	1
2.1.1.215	1
2.1.1.216	1
2.1.1.217	1
2.1.1.218	1
2.1.1.219	1
2.1.1.220	1
2.1.1.221	1
2.1.1.222	1
2.1.1.223	1
2.1.1.224	5
2.1.1.225	1
2.1.1.226	1
2.1.1.227	1
2.1.1.228	0.5
2.1.1.229	1
2.1.1.230	1
2.1.1.231	1
2.1.1.232	1
2.1.1.233	1
2.1.1.234	1
2.1.1.235	1
2.1.1.236	1
2.1.1.237	1
2.1.1.238	1
2.1.1.239	1
2.1.1.240	1
2.1.1.241	1
2.1.1.242	1
2.1.1.243	1
2.1.1.244	1
2.1.1.245	1
2.1.1.246	1
2.1.1.247	1
2.1.1.248	1
2.1.1.249	1
2.1.1.250	1
2.1.1.251	1
2.1.1.252	1
2.1.1.253	1
2.1.1.254	1
2.1.1.255	1
2.1.1.256	1
2.1.1.257	1
2.1.1.258	1
2.1.1.259	1
2.1.1.260	1
2.1.1.261	1
2.1.1.262	1
